feature	X525919	X2725666	X334413	X562	X623	X114527	X347253	X28037	X1308	X1870984	X283734	X1343	X33040	X470	X1458465	X2664291	X1282	X29388	X2144175	X158836	X29380	X1328	X39778	X29466	X1596	X1303	X712633	X1194971	X1283	X1433513	X1280	X89152	X1379	X621	X76857	X1812935	X1398	X617123	X28035	X729	X946333	X13689	X1335	X1496	X2599308	X147802	X837	X622	X113107	X1313	X39777	X573	X1888195	X33033	X46125	X1134687	X29385	X1305	X760570	X1404	X28901	X203275	X889201	X2696060	X34062	X1613	X267747	X1587	X1938606	X747	X294	X537973	X408	X40214	X1292	X1290	X1314884	X29430	X47770	X303	X1310	X2714946	X1054460	X546269	X29391	X726	X490	X488	X1276282	X1302	X44008	X2025492	X223967	X104955	X712310	X2728020	X1016987	X824	X546271	X727	X693986	X1549858	X1884263	X1523415	X1560345	X539	X653931	X152682	X13690	X335406	X93064	X41276	X378753	X2711215	X1609977	X424800	X1850238	X1123269	X190148	X2126319	X108980	X436515	X29429	X945844	X929102	X871742	X1707785	X2045208	X2072590	X1855823	X1882682	X1367847	X28090	X1077935	X2500532	X234267	X2082188	X588932	X1491	X82367	X2018065	X34004	X28038	X204	X1397	X1270	X40324	X2490939	X2065379	X1545044	X2725684	X147645	X1423723	X735	X407035	X1176536	X272123	X321984	X2182384	X417367	X195105	X1813821	X2303750	X418223	X595537	X908290	X2057741	X39960	X2488560	X1892855	X203	X157687	X1827469	X1633	X2479393	X1329	X270351	X2202825	X1170318	X2498451	X2724619	X1945662	X674703	X135740	X266	X1532023	X450851	X2201350	X2294119	X314722	X2587858	X1520	X2175091	X74329	X1061	X1499308	X169480	X2547962	X83427	X267632	X158754	X293405	X169976	X199684	X316087	X292277	X658225	X74696	X328225	X663950	X327691	X41431
paraffin_ctrl_120	0	0	0	24	1	4	0	57	0	1	0	0	14	0	0	0	0	0	0	1	0	0	0	0	9	24	45	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	7	7	23	26	0	2	29	1	0	0	0	0	0	0	1	1	0	1	0	5	3	0	0	0	0	0	0	0	0	4	0	3	0	0	0	3	15	0	2	0	0	0	1	0	0	0	0	3	0	1	0	1	5	1	1	0	50	10	0	30	3	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_121	0	0	0	0	0	7	1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	0	15	35	0	1	8	1	0	3	0	36	0	0	0	1	17	0	0	0	1	0	0	1	0	0	12	7	0	0	23	19	0	0	0	0	1	0	0	0	0	41	0	2	0	0	0	0	0	0	0	0	12	0	1	0	0	0	6	1	0	0	0	12	47	0	2	0	0	0	0	0	0	1	10	0	0	0	1	1	10	0	0	5	4	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_122	0	0	2	0	0	3	0	47	0	0	0	0	8	0	7	0	0	0	4	0	0	0	0	6	0	14	14	0	0	6	2	0	20	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	2	12	0	0	0	136	9	0	0	0	6	0	0	9	0	4	2	0	3	0	0	0	6	0	0	0	0	5	0	0	0	1	0	0	2	12	1	0	5	2	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	57	10	0	23	5	0	3	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_123	0	0	1	0	0	19	1	67	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	30	24	0	0	7	0	0	13	0	30	0	0	4	0	22	0	1	0	0	0	0	0	0	5	8	0	0	3	33	24	0	0	2	0	0	0	0	2	0	13	0	0	5	0	0	0	0	0	11	0	4	4	2	5	0	0	0	0	17	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	49	6	0	20	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
paraffin_ctrl_124	0	0	0	0	0	35	2	4	3	1	0	1	28	0	0	0	23	0	0	0	3	0	0	0	9	2	12	0	0	1	2	2	0	0	37	0	0	27	0	0	0	0	0	0	0	0	23	0	0	4	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	42	3	0	25	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	22	62	0	0	0	0	0	0	0	8	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_125	0	0	0	0	0	33	1	72	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	38	36	0	0	13	0	3	14	0	5	0	0	0	0	0	0	1	9	0	5	0	0	0	8	14	0	0	0	48	0	0	0	4	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	2	0	0	0	0	5	13	0	0	1	0	0	0	0	8	0	0	2	0	39	8	0	22	0	0	2	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_126	0	0	2	0	0	35	0	14	0	0	0	0	18	0	0	0	0	0	0	0	2	4	1	25	9	8	12	0	0	2	1	0	6	0	7	0	7	0	0	4	0	0	0	0	2	0	12	0	8	2	3	0	1	11	0	0	0	2	6	1	0	0	8	1	56	0	1	2	1	0	0	0	0	0	0	2	2	0	5	0	0	2	0	19	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	33	5	0	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	9	0	3	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	1	0	1	0	8	0	0	0	2	0	2	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_127	0	2	0	17	0	23	2	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	4	2	2	0	2	0	0	11	0	14	0	0	0	0	0	0	0	9	0	0	0	14	0	0	4	0	1	0	40	0	0	0	0	0	0	0	0	0	23	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	0	98	12	0	32	3	0	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0	1	0	1	0	0	10	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_128	0	0	1	2	1	5	0	5	8	0	0	0	25	0	0	0	0	0	0	1	1	25	0	0	0	26	9	0	4	0	11	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	19	0	0	1	0	0	0	0	0	7	1	3	0	0	3	0	0	2	4	0	0	0	0	0	0	0	0	40	6	46	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	18	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	12	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	7	0	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
paraffin_ctrl_129	0	0	0	197	2	9	0	22	0	0	0	1	6	0	0	7	1	0	0	4	1	0	0	6	0	5	10	0	0	1	1	2	22	1	32	3	0	0	0	16	0	0	2	1	1	0	14	2	1	6	0	3	0	15	0	0	0	1	0	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	3	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	2	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_130	0	0	0	1	0	41	2	28	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	20	0	15	12	0	0	5	7	18	0	0	1	0	0	0	0	0	0	0	0	4	0	0	15	0	1	17	0	0	0	41	0	10	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	7	21	0	0	0	8	4	0	0	3	0	0	0	0	2	0	0	0	0	3	0	86	12	0	29	4	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	3	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_131	0	0	1	1	0	1	15	54	14	0	0	11	2	0	1	0	2	0	1	0	0	3	2	23	0	54	92	0	0	3	0	1	10	0	2	0	0	0	0	0	0	0	33	0	1	0	5	0	5	20	1	0	0	24	0	0	0	0	2	0	0	0	11	0	2	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	2	8	1	0	0	8	0	5	1	0	0	0	4	0	0	2	0	0	0	1	13	13	2	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_132	0	0	0	0	0	11	1	100	0	0	0	0	3	0	0	0	5	0	0	0	1	0	0	0	8	15	35	0	0	8	0	3	13	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	5	21	0	0	2	11	0	0	0	1	6	0	0	0	1	2	0	1	2	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	3	45	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	1	0	38	2	0	20	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
buffer_ctrl_133	0	0	0	0	0	40	6	40	1	0	0	1	16	0	0	0	0	0	1	0	0	0	5	16	0	9	18	0	0	3	0	23	1	0	21	0	2	0	0	0	0	1	4	6	0	0	0	0	3	12	38	0	1	30	0	0	0	1	0	0	0	0	0	2	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	2	2	0	0	0	0	0	42	2	0	31	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	5	0	0	34	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	19	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
buffer_ctrl_134	0	0	1	2	0	9	11	5	6	0	4	96	0	0	0	0	16	1	0	10	0	0	0	3	0	8	12	14	1	0	58	2	37	0	7	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	1	0	0	13	0	0	1	0	5	3	2	0	0	5	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	5	0	0	0	0	0	0	0	0	0	0	1	5	0	3	1	0	0	0	8	2	0	9	0	0	1	1	0	0	0	0	1	0	0	0	12	0	20	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
buffer_ctrl_135	0	81	1	0	0	27	0	7	0	0	1	6	3	0	0	0	0	0	0	0	0	0	0	0	2	5	14	0	1	2	0	0	0	0	39	0	0	0	0	0	0	0	0	0	3	0	4	0	16	3	0	0	0	66	0	0	0	0	2	0	0	0	0	3	13	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	55	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	0	0	1	1	53	5	0	23	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
buffer_ctrl_136	0	55	0	10	0	27	0	8	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	3	9	2	0	0	2	2	0	0	0	24	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	105	0	0	0	0	0	9	0	2	0	0	0	23	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	2	0	29	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
buffer_ctrl_137	0	89	0	0	0	35	0	26	0	0	0	0	25	0	0	0	0	0	0	0	0	20	0	1	3	3	6	0	0	5	0	0	0	0	3	0	1	0	0	0	9	0	0	3	4	0	8	0	1	7	1	0	0	60	0	0	1	0	0	2	1	0	0	0	3	0	2	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	4	10	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	33	8	0	19	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	3	0	0	3	0	0	11	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
